HEY-CH2009202	15-Mar-09	34.00
HEY-CH2009203	17-Mar-09	33.50
HEY-CH2009204	18-Mar-09	35.15
HEY-CH2009205	19-Mar-09	43.30
HEY-CH2009206	20-Mar-09	47.40
HEY-CH2009207	21-Mar-09	36.00
HEY-CH2009209	22-Mar-09	37.60
HEY-CH2009091	23-Mar-09	32.40
HEY-CH2009092	25-Mar-09	131.10
HEY-CH2009093	27-Mar-09	26.30
HEY-CH2009094	28-Mar-09	26.65
HEY-CH2009095	29-Mar-09	40.15
HEY-CH2009097	30-Mar-09	30.56
